期数,关键词,波色,开奖结果
161期,"澳门木子辉歌《双波中特》992548.com, 澳门木子辉歌《双波中特",,"羊11中, 牛05中, 發00中, 猪31错"
161期,"158期双波中特, 159期双波中特, 161期双波中特, 160期双波中特, 160期双波中特☀蓝波-绿波☀开:羊11中, 158期双波中特☀蓝波-绿波☀开:牛05中","绿波, 红波, 蓝波","羊11中, 牛05中, 發00中, 猪31中"
161期,"期:(澳门木子辉歌)【两波中特】=刀锋之伤, 期:(澳门木子辉歌)【两波中特",,發00准
161期,"澳门发财玄机图【两波中特, 澳门发财玄机图【两波中特】772310.com",,
161期,"158期:两波中特【绿波+红波】开:牛05中, 161期:两波中特, 159期:两波中特, 158期:两波中特, 160期:两波中特【绿波+蓝波】开:羊11中, 160期:两波中特","绿波, 红波, 蓝波","羊11中, 牛05中, 發00中, 猪31中"
161期,"160期【两波中特, 158期【两波中特】【绿蓝】开:牛05中, 158期【两波中特, 160期【两波中特】【蓝绿】开:羊11中, 161期【两波中特, 159期【两波中特","绿波, 红波, 蓝波","羊11中, 牛05中, 發00中, 猪31错"
161期,"158期:双波中特, 158期:双波中特【绿波红波】开:牛05准, 160期:双波中特【绿波蓝波】开:羊11准, 160期:双波中特, 159期:双波中特, 161期:双波中特","绿波, 红波, 蓝波","發00准, 牛05准, 猪31错, 羊11准"
161期,"158期双波中特, 159期双波中特, 161期双波中特, 160期双波中特, 158期双波中特【红波绿波】开牛05准, 160期双波中特【绿波蓝波】开羊11准","绿波, 红波, 蓝波","發00准, 牛05准, 猪31准, 羊11准"
161期,"【双波中特】红绿波, 【双波中特","绿波, 红波",【双波中特】红绿波
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"高手贴161期:仙人指路【稳健二波】, 高手贴161期:仙人指路【稳健二波",,
161期,"★澳门天空★双波中特, 二波中特","绿波, 蓝波","二波中特, 14 准, 09 准, 45 准, 11 准, 38 准, ?? 准, 23 准, 13 准, 02 准, 41 准, 17 准, 开 ?? 准, 40 准, 18 准, 10 准, 32 准, ★澳门天空★双波中特, 43 准, 05 准, 31 准"
161期,"二波中特, 中特 【红波蓝波】 开 31猪 准  157期： 二波, 160期： 二波, 中特 【绿波红波】 开 45鸡 准  153期： 二波, 中特 【绿波红波】 开 43猪 准  152期： 二波, 中特 【蓝波绿波】 开 11羊 准  159期： 二波, 中特 【绿波红波】 开 23羊 准  155期： 二波","绿波, 红波, 蓝波","45鸡 准, 11羊 准, 10猴 准, 开 ?? 准, ?? 准, 23羊 准, 31猪 准, 43猪 准"
161期,"161期:【两波中特, 161期:【两波中特】",,
161期,"161期:【两波中特, 161期:【两波中特】",,
161期,"161期:【两波中特, 161期:【两波中特】",,
161期,"161期:两波中特, 159期:两波中特, 158期:两波中特, 158期:两波中特【蓝-绿】开:牛05准, 160期:两波中特【蓝-红】开:羊11错, 160期:两波中特","绿波, 红波, 蓝波","發00准, 牛05准, 猪31准, 羊11错"
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】失不再来, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
161期,"161期：黄大仙【双波中特】精英出现, 161期：黄大仙【双波中特",,
